year,month,period_start,period_end,count,count_neg,count_pos,pct_positive,is_partial_month
2023,12,2023-12-29 00:00:00,2024-01-29 00:00:00,0,0,0,0.0,True
2024,1,2024-01-01 00:00:00,2024-02-01 00:00:00,110,108,2,1.82,False
2024,2,2024-02-01 00:00:00,2024-03-01 00:00:00,143,139,4,2.8,False
2024,3,2024-03-01 00:00:00,2024-04-01 00:00:00,47,37,10,21.28,False
2024,3,2024-03-30 00:00:00,2024-04-30 00:00:00,44,41,3,6.82,False
2024,4,2024-04-30 00:00:00,2024-05-30 00:00:00,0,0,0,0.0,False
2024,5,2024-05-30 00:00:00,2024-06-30 00:00:00,0,0,0,0.0,False
2024,6,2024-06-30 00:00:00,2024-07-30 00:00:00,0,0,0,0.0,False
2024,7,2024-07-30 00:00:00,2024-08-30 00:00:00,0,0,0,0.0,False
2024,8,2024-08-30 00:00:00,2024-09-30 00:00:00,0,0,0,0.0,False
2024,9,2024-09-30 00:00:00,2024-10-30 00:00:00,1,0,1,100.0,False
2024,10,2024-10-30 00:00:00,2024-11-30 00:00:00,72,71,1,1.39,False
2024,11,2024-11-30 00:00:00,2024-12-30 00:00:00,140,121,19,13.57,False
2024,12,2024-12-30 00:00:00,2025-01-30 00:00:00,7,7,0,0.0,True
2025,1,2025-01-01 00:00:00,2025-02-01 00:00:00,161,156,5,3.11,False
2025,2,2025-02-01 00:00:00,2025-03-01 00:00:00,46,43,3,6.52,False
2025,3,2025-03-01 00:00:00,2025-04-01 00:00:00,60,57,3,5.0,False
2025,3,2025-03-29 00:00:00,2025-04-29 00:00:00,26,21,5,19.23,False
2025,4,2025-04-29 00:00:00,2025-05-29 00:00:00,33,29,4,12.12,False
2025,5,2025-05-29 00:00:00,2025-06-29 00:00:00,0,0,0,0.0,False
2025,6,2025-06-29 00:00:00,2025-07-29 00:00:00,0,0,0,0.0,False
2025,7,2025-07-29 00:00:00,2025-08-29 00:00:00,0,0,0,0.0,False
2025,8,2025-08-29 00:00:00,2025-09-29 00:00:00,0,0,0,0.0,False
2025,9,2025-09-29 00:00:00,2025-10-29 00:00:00,3,3,0,0.0,False
2025,10,2025-10-29 00:00:00,2025-11-29 00:00:00,34,34,0,0.0,False
2025,11,2025-11-29 00:00:00,2025-12-29 00:00:00,39,35,4,10.26,False
2025,12,2025-12-29 00:00:00,2026-01-29 00:00:00,0,0,0,0.0,True
