span_id,from_tower,to_tower,lat,lng,asset_name
78,,,-7.955175,114.388145,SPAN SUTT 150kV STBDO-BWNGI #0188
79,,,-7.952333,114.38749,SPAN SUTT 150kV STBDO-BWNGI #0187
80,,,-7.949442,114.38683,SPAN SUTT 150kV STBDO-BWNGI #0186
81,,,-7.9464,114.38612,SPAN SUTT 150kV STBDO-BWNGI #0185
82,,,-7.943575,114.38546,SPAN SUTT 150kV STBDO-BWNGI #0184
83,,,-7.940983,114.384865,SPAN SUTT 150kV STBDO-BWNGI #0183
84,,,-7.938283,114.38425,SPAN SUTT 150kV STBDO-BWNGI #0182
85,,,-7.935617,114.38362,SPAN SUTT 150kV STBDO-BWNGI #0181
86,,,-7.933133,114.38304,SPAN SUTT 150kV STBDO-BWNGI #0180
87,,,-7.93085,114.382515,SPAN SUTT 150kV STBDO-BWNGI #0179
88,,,-7.928,114.38187,SPAN SUTT 150kV STBDO-BWNGI #0178
89,,,-7.92505,114.38089,SPAN SUTT 150kV STBDO-BWNGI #0177
90,,,-7.922533,114.37977,SPAN SUTT 150kV STBDO-BWNGI #0176
91,,,-7.9197,114.37854,SPAN SUTT 150kV STBDO-BWNGI #0175
92,,,-7.91755,114.37758,SPAN SUTT 150kV STBDO-BWNGI #0174
93,,,-7.916025,114.37689,SPAN SUTT 150kV STBDO-BWNGI #0173
94,,,-7.914692,114.37545,SPAN SUTT 150kV STBDO-BWNGI #0172
95,,,-7.91365,114.37303,SPAN SUTT 150kV STBDO-BWNGI #0171
96,,,-7.912417,114.37034,SPAN SUTT 150kV STBDO-BWNGI #0170
97,,,-7.911233,114.36776,SPAN SUTT 150kV STBDO-BWNGI #0169
98,,,-7.910083,114.365135,SPAN SUTT 150kV STBDO-BWNGI #0168
99,,,-7.908908,114.36254,SPAN SUTT 150kV STBDO-BWNGI #0167
100,,,-7.907792,114.36002,SPAN SUTT 150kV STBDO-BWNGI #0166
101,,,-7.906717,114.35751,SPAN SUTT 150kV STBDO-BWNGI #0165
102,,,-7.905625,114.35504,SPAN SUTT 150kV STBDO-BWNGI #0164
103,,,-7.904442,114.35237,SPAN SUTT 150kV STBDO-BWNGI #0163
104,,,-7.903242,114.34968,SPAN SUTT 150kV STBDO-BWNGI #0162
105,,,-7.902133,114.347115,SPAN SUTT 150kV STBDO-BWNGI #0161
