tower_id,gfd_ElNino,gfd_LaNina,gfd_Neutral,dGFD_dENSO,units,lat,lng,elev_m
214,6.08,6.72,7.04,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.024267,114.40985,32.0
215,6.08,6.72,6.08,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.026833,114.41103,31.0
216,5.76,6.4,6.4,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.02965,114.412315,30.0
217,5.44,5.44,5.76,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.032483,114.41365,29.0
218,5.76,5.76,5.44,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.035633,114.4151,26.0
219,5.44,5.44,5.76,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.038117,114.41505,29.0
220,4.8,5.44,5.12,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.041367,114.41503,19.0
221,4.48,5.12,5.44,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.043567,114.415016,23.0
222,5.12,5.44,4.8,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.045533,114.41497,29.0
223,5.76,5.76,5.44,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.048783,114.41492,32.0
224,5.76,5.76,6.08,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.051267,114.41492,28.0
225,6.08,5.76,6.4,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.053733,114.4149,32.0
226,6.4,6.08,6.4,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.056567,114.41483,33.0
227,6.4,6.08,6.4,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.059333,114.41482,35.0
228,5.76,6.08,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.062483,114.41475,34.0
229,5.44,5.76,5.44,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.065417,114.41472,44.0
230,5.44,5.76,5.44,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.067167,114.41423,47.0
231,6.08,5.76,5.76,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.069917,114.41357,48.0
232,5.44,5.76,6.4,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.073517,114.412636,57.0
233,5.44,5.76,6.08,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.077333,114.41165,45.0
234,5.76,5.76,6.24,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.080617,114.4108,74.0
235,6.08,6.08,6.08,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.08425,114.4099,76.0
236,5.76,6.08,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.08605,114.40942,113.0
237,6.08,6.72,5.76,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.087683,114.40895,140.0
238,6.08,6.72,6.72,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.09095,114.408066,170.0
239,6.72,7.04,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.095783,114.40722,187.0
240,7.04,6.4,7.36,0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.101233,114.40587,78.0
241,6.72,7.36,7.2,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.102317,114.40563,94.0
242,6.08,6.4,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.104683,114.40497,82.0
243,6.4,6.72,6.72,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.106833,114.40345,71.0
244,5.76,6.08,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.110183,114.401,70.0
245,5.44,6.08,6.24,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1119,114.39982,88.0
246,5.44,6.4,5.92,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1142,114.39833,68.0
247,6.08,6.72,7.04,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.115967,114.397385,63.0
248,5.76,6.08,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.117867,114.3965,65.0
249,5.76,5.76,6.08,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.11995,114.39547,64.0
250,5.12,5.76,5.6,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.122733,114.394135,47.0
251,4.8,5.44,5.44,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1254,114.39363,39.0
252,4.48,4.48,5.12,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1286,114.3929,21.0
253,4.8,4.48,4.48,0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.13135,114.39238,21.0
254,4.16,4.16,4.48,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.13425,114.39173,22.0
255,4.48,4.48,4.16,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.137017,114.3907,20.0
256,5.12,5.12,5.44,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.139483,114.38975,17.0
257,5.12,5.44,5.28,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1422,114.38875,15.0
258,5.44,5.76,5.92,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.144983,114.38772,19.0
259,5.76,6.08,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.147967,114.38662,24.0
260,6.08,6.4,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.150867,114.38558,28.0
261,5.44,6.08,6.4,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1515,114.38245,44.0
262,6.08,6.72,6.4,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.152167,114.37925,58.0
263,7.04,7.68,7.04,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.152767,114.37625,76.0
264,7.04,7.36,7.36,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.153333,114.3734,87.0
265,7.36,7.84,7.36,-0.23999999999999977,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.154533,114.371414,106.0
266,6.72,7.68,7.68,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.155833,114.36922,110.0
267,6.88,7.04,7.36,-0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.157267,114.3668,123.0
268,7.36,6.72,7.36,0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.158467,114.36475,131.0
269,7.04,7.04,6.72,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.159733,114.3626,143.0
270,6.4,7.04,7.04,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.161217,114.3601,150.0
271,6.24,6.72,7.04,-0.23999999999999977,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.162767,114.35751,156.0
272,6.08,7.04,6.4,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.164483,114.35458,167.0
273,6.72,7.04,7.04,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.1668,114.35387,166.0
274,6.72,6.72,6.4,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.169217,114.35312,163.0
275,6.72,6.4,6.4,0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.171717,114.35235,158.0
276,6.08,7.36,6.5600000000000005,-0.6400000000000001,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.174233,114.35155,147.0
277,5.44,5.76,5.76,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.176667,114.350784,148.0
278,5.76,6.4,6.08,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.179667,114.35198,129.0
279,5.44,5.12,5.76,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.183017,114.35337,113.0
280,5.12,5.44,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.185717,114.35445,105.0
281,6.08,6.08,6.4,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.188365,114.35488,101.0
