tower_id,gfd_ElNino,gfd_LaNina,gfd_Neutral,dGFD_dENSO,units,lat,lng,elev_m
50,4.48,4.8,4.8,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.743267,114.14692,36.0
51,4.8,5.44,5.12,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.74465,114.14945,38.0
52,5.44,5.44,4.96,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.745967,114.15193,39.0
53,4.8,5.12,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.747333,114.15438,38.0
54,5.6,6.72,6.4,-0.56,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.748633,114.1568,39.0
55,6.4,6.72,7.04,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.74945,114.15988,38.0
56,6.08,6.72,6.4,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.750117,114.162735,37.0
57,6.08,6.72,5.76,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.750767,114.16523,37.0
58,6.08,6.4,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.75135,114.16769,38.0
59,5.44,5.76,5.76,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.752033,114.17032,42.0
60,4.48,4.8,4.16,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.752733,114.173134,44.0
61,3.84,4.8,4.16,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.753467,114.17602,43.0
62,3.52,3.84,3.84,-0.15999999999999992,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.75415,114.178764,42.0
63,3.84,3.84,3.84,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.754917,114.1818,42.0
64,4.640000000000001,4.48,4.48,0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.755567,114.18477,41.0
65,4.48,4.16,4.48,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.756367,114.1877,44.0
66,4.48,4.48,4.16,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.756967,114.18988,44.0
67,4.8,4.8,4.8,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.757667,114.19282,45.0
68,4.48,4.48,4.8,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.758417,114.19569,46.0
69,5.44,5.44,5.76,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.7591,114.19853,46.0
70,5.12,5.44,4.8,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.759883,114.20147,49.0
71,5.12,5.44,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.760467,114.203735,52.0
72,5.12,5.44,4.8,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.761133,114.20647,51.0
73,4.8,5.76,5.76,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.761867,114.20938,51.0
74,5.76,6.08,6.08,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.7626,114.21228,54.0
75,5.44,5.12,5.44,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.763317,114.21505,51.0
76,5.76,6.08,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.76405,114.21793,53.0
77,6.08,6.08,6.4,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.76467,114.22054,53.0
78,5.76,6.08,6.4,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.766294,114.22319,55.0
79,5.76,6.08,5.76,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.767867,114.22588,57.0
80,5.44,5.76,5.76,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.769399,114.22848,60.0
81,5.12,5.76,5.76,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.770934,114.23106,63.0
82,4.8,5.44,5.76,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.77256,114.233765,64.0
83,5.12,5.12,5.44,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.772866,114.23671,64.0
84,4.48,4.8,5.12,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773083,114.23977,66.0
85,4.8,5.12,5.76,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773355,114.242714,66.0
86,3.52,3.84,4.16,-0.15999999999999992,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773614,114.245636,66.0
87,4.8,5.44,4.8,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773883,114.248665,61.0
88,4.48,5.12,5.12,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.77415,114.251686,52.0
89,4.8,5.44,5.12,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.77445,114.25467,57.0
90,5.12,5.44,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.774717,114.25737,55.0
91,6.08,6.24,6.08,-0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775033,114.260635,50.0
92,5.44,5.76,6.08,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775319,114.26346,46.0
93,5.12,5.44,5.28,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775636,114.26648,41.0
94,4.8,5.12,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775919,114.2694,39.0
95,4.48,5.12,5.44,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.776177,114.272285,38.0
96,5.44,5.76,6.08,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775818,114.27507,34.0
97,5.44,5.44,6.08,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.775332,114.27788,34.0
98,5.44,6.08,6.08,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.774872,114.28066,34.0
99,5.76,5.44,5.76,0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.774383,114.28348,31.0
100,5.12,6.08,5.44,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773911,114.286285,28.0
101,5.76,6.4,5.44,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773513,114.28881,31.0
102,5.44,5.76,6.08,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.773038,114.29185,27.0
103,5.12,5.44,5.44,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.772569,114.294525,22.0
104,5.12,5.44,5.76,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.772133,114.29733,21.0
105,5.12,5.44,5.12,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.771633,114.30013,20.0
106,4.16,4.8,4.8,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.771171,114.30285,18.0
107,4.48,4.48,4.48,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.771812,114.30593,17.0
